Buffer Size,Elapsed Time (s),Total CPU Time (s),User CPU Time (s),System CPU Time (s)
1,1582.07000000000000000000,134.25400000000000000000,1.11600000000000000000,133.13800000000000000000
2,42.23560000000000000000,3.50680000000000000000,.02840000000000000000,3.47840000000000000000
4,22.22995000000000000000,1.84190000000000000000,.01145000000000000000,1.83045000000000000000
8,11.08120000000000000000,.92355000000000000000,.01040000000000000000,.91315000000000000000
16,5.48525000000000000000,.45245000000000000000,.00290000000000000000,.44955000000000000000
32,2.75680000000000000000,.21710000000000000000,.00295000000000000000,.21415000000000000000
64,1.36360000000000000000,.10515000000000000000,.00070000000000000000,.10445000000000000000
128,.68420000000000000000,.05250000000000000000,.00045000000000000000,.05205000000000000000
256,.35615000000000000000,.02760000000000000000,0,.02760000000000000000
512,.17175000000000000000,.01385000000000000000,0,.01385000000000000000
1024,.09950000000000000000,.00860000000000000000,0,.00860000000000000000
4096,.02380000000000000000,.00200000000000000000,0,.00200000000000000000
16284,.00700000000000000000,.00065000000000000000,0,.00065000000000000000
65536,.00230000000000000000,.00030000000000000000,0,.00030000000000000000
