Buffer Size,Elapsed Time (s),Total CPU Time (s),User CPU Time (s),System CPU Time (s)
1,74.30260000000000000000,74.23710000000000000000,9.90340000000000000000,64.33370000000000000000
2,36.23205000000000000000,36.19790000000000000000,4.74835000000000000000,31.44955000000000000000
4,18.35080000000000000000,18.31950000000000000000,2.47190000000000000000,15.84760000000000000000
8,8.91000000000000000000,8.88925000000000000000,1.17465000000000000000,7.71460000000000000000
16,4.53975000000000000000,4.51605000000000000000,.60235000000000000000,3.91370000000000000000
32,2.31160000000000000000,2.28405000000000000000,.30895000000000000000,1.97510000000000000000
64,1.21995000000000000000,1.15990000000000000000,.14535000000000000000,1.01455000000000000000
128,.66735000000000000000,.60785000000000000000,.07510000000000000000,.53275000000000000000
256,.35585000000000000000,.32590000000000000000,.03630000000000000000,.28960000000000000000
512,.32200000000000000000,.19595000000000000000,.02145000000000000000,.17450000000000000000
1024,.14655000000000000000,.12440000000000000000,.00940000000000000000,.11500000000000000000
4096,.11020000000000000000,.06955000000000000000,.00285000000000000000,.06670000000000000000
16284,.11450000000000000000,.06470000000000000000,.00060000000000000000,.06410000000000000000
65536,.13285000000000000000,.05805000000000000000,.00040000000000000000,.05765000000000000000
