Buffer Size,Elapsed Time (s),Total CPU Time (s),User CPU Time (s),System CPU Time (s)
1,370.97345000000000000000,69.55055000000000000000,10.42220000000000000000,59.12835000000000000000
2,62.87110000000000000000,37.31545000000000000000,5.27145000000000000000,32.04400000000000000000
4,44.82415000000000000000,20.35785000000000000000,2.71700000000000000000,17.64085000000000000000
8,38.01545000000000000000,12.49065000000000000000,1.52355000000000000000,10.96710000000000000000
16,34.23805000000000000000,8.18010000000000000000,.84605000000000000000,7.33405000000000000000
32,32.03285000000000000000,5.98360000000000000000,.50580000000000000000,5.47780000000000000000
64,52.79585000000000000000,4.39280000000000000000,.30375000000000000000,4.08905000000000000000
128,27.95790000000000000000,3.92005000000000000000,.19620000000000000000,3.72385000000000000000
256,27.27595000000000000000,3.60200000000000000000,.14430000000000000000,3.45770000000000000000
512,.29540000000000000000,.28420000000000000000,.02980000000000000000,.25440000000000000000
1024,.22535000000000000000,.20780000000000000000,.01440000000000000000,.19340000000000000000
4096,.18095000000000000000,.15515000000000000000,.00360000000000000000,.15155000000000000000
16284,.96080000000000000000,.20865000000000000000,.00280000000000000000,.20585000000000000000
65536,.20685000000000000000,.14085000000000000000,.00085000000000000000,.14000000000000000000
