Buffer Size,Elapsed Time (s),Total CPU Time (s),User CPU Time (s),System CPU Time (s)
1,66.16380000000000000000,66.15435000000000000000,10.10920000000000000000,56.04515000000000000000
2,32.49395000000000000000,32.48510000000000000000,5.00870000000000000000,27.47640000000000000000
4,16.35890000000000000000,16.34825000000000000000,2.48485000000000000000,13.86340000000000000000
8,8.24030000000000000000,8.23225000000000000000,1.24825000000000000000,6.98400000000000000000
16,4.17570000000000000000,4.16595000000000000000,.63545000000000000000,3.53050000000000000000
32,2.16335000000000000000,2.15375000000000000000,.32205000000000000000,1.83170000000000000000
64,1.15880000000000000000,1.14870000000000000000,.16040000000000000000,.98830000000000000000
128,.65275000000000000000,.63155000000000000000,.08385000000000000000,.54770000000000000000
256,.37400000000000000000,.35875000000000000000,.04290000000000000000,.31585000000000000000
512,.26435000000000000000,.24840000000000000000,.02615000000000000000,.22225000000000000000
1024,.21085000000000000000,.19515000000000000000,.01365000000000000000,.18150000000000000000
4096,.20495000000000000000,.15760000000000000000,.00500000000000000000,.15260000000000000000
16284,.20370000000000000000,.13600000000000000000,.00045000000000000000,.13555000000000000000
65536,.20335000000000000000,.13275000000000000000,.00085000000000000000,.13190000000000000000
