              sh-3635  [006] .....   934.485512: funcgraph_exit:         0.250 us   |              }
              sh-3635  [006] .....   934.485512: funcgraph_exit:         0.792 us   |            }
              sh-3635  [006] .....   934.485513: funcgraph_entry:                   |            inode_permission() {
              sh-3635  [006] .....   934.485513: funcgraph_entry:                   |              generic_permission() {
              sh-3635  [006] .....   934.485513: funcgraph_entry:        0.125 us   |                get_cached_acl_rcu();
              sh-3635  [006] .....   934.485513: funcgraph_exit:         0.291 us   |              }
              sh-3635  [006] .....   934.485513: funcgraph_entry:                   |              security_inode_permission() {
              sh-3635  [006] .....   934.485513: funcgraph_entry:        0.125 us   |                bpf_lsm_inode_permission();
              sh-3635  [006] .....   934.485513: funcgraph_exit:         0.292 us   |              }
              sh-3635  [006] .....   934.485513: funcgraph_exit:         0.792 us   |            }
              sh-3635  [006] .....   934.485513: funcgraph_exit:         2.708 us   |          }
              sh-3635  [006] .....   934.485513: funcgraph_entry:                   |          lookup_fast() {
              sh-3635  [006] .....   934.485514: funcgraph_entry:        0.583 us   |            __d_lookup_rcu();
              sh-3635  [006] .....   934.485514: funcgraph_exit:         0.750 us   |          }
              sh-3635  [006] .....   934.485514: funcgraph_entry:        0.125 us   |          step_into();
              sh-3635  [006] .....   934.485515: funcgraph_entry:                   |          complete_walk() {
              sh-3635  [006] .....   934.485515: funcgraph_entry:                   |            try_to_unlazy() {
              sh-3635  [006] .....   934.485515: funcgraph_entry:        0.083 us   |              legitimize_links();
              sh-3635  [006] .....   934.485515: funcgraph_entry:                   |              __legitimize_path() {
              sh-3635  [006] .....   934.485515: funcgraph_entry:        0.125 us   |                __legitimize_mnt();
              sh-3635  [006] .....   934.485515: funcgraph_exit:         0.292 us   |              }
              sh-3635  [006] .....   934.485516: funcgraph_exit:         0.958 us   |            }
              sh-3635  [006] .....   934.485516: funcgraph_exit:         1.125 us   |          }
              sh-3635  [006] .....   934.485516: funcgraph_entry:                   |          may_open() {
              sh-3635  [006] .....   934.485516: funcgraph_entry:                   |            inode_permission() {
              sh-3635  [006] .....   934.485516: funcgraph_entry:                   |              generic_permission() {
              sh-3635  [006] .....   934.485516: funcgraph_entry:                   |                get_acl() {
              sh-3635  [006] .....   934.485516: funcgraph_entry:        0.125 us   |                  get_cached_acl();
              sh-3635  [006] .....   934.485516: funcgraph_exit:         0.292 us   |                }
              sh-3635  [006] .....   934.485516: funcgraph_exit:         0.458 us   |              }
              sh-3635  [006] .....   934.485516: funcgraph_entry:                   |              security_inode_permission() {
              sh-3635  [006] .....   934.485517: funcgraph_entry:        0.083 us   |                bpf_lsm_inode_permission();
              sh-3635  [006] .....   934.485517: funcgraph_exit:         0.250 us   |              }
              sh-3635  [006] .....   934.485517: funcgraph_exit:         0.958 us   |            }
              sh-3635  [006] .....   934.485517: funcgraph_exit:         1.166 us   |          }
              sh-3635  [006] .....   934.485517: funcgraph_entry:                   |          vfs_open() {
              sh-3635  [006] .....   934.485517: funcgraph_entry:                   |            do_dentry_open() {
              sh-3635  [006] .....   934.485517: funcgraph_entry:                   |              path_get() {
              sh-3635  [006] .....   934.485517: funcgraph_entry:        0.125 us   |                mntget();
              sh-3635  [006] .....   934.485517: funcgraph_exit:         0.292 us   |              }
              sh-3635  [006] .....   934.485518: funcgraph_entry:        0.084 us   |              try_module_get();
              sh-3635  [006] .....   934.485518: funcgraph_entry:                   |              security_file_open() {
              sh-3635  [006] .....   934.485518: funcgraph_entry:        0.083 us   |                hook_file_open();
              sh-3635  [006] .....   934.485518: funcgraph_entry:        0.125 us   |                apparmor_file_open();
              sh-3635  [006] .....   934.485518: funcgraph_entry:                   |                tomoyo_file_open() {
              sh-3635  [006] .....   934.485518: funcgraph_entry:        0.084 us   |                  tomoyo_domain();
              sh-3635  [006] .....   934.485518: funcgraph_entry:                   |                  tomoyo_check_open_permission() {
